item_code,model_name,item_category,phase_in_at,vertical_name,sku
165.00474,Movement Shorts,Apparel,2022-02-03T00:00:00Z,Performance Running,Movement Shorts M Navy | Black
165.00710,Movement Shorts,Apparel,2022-03-03T00:00:00Z,Performance Running,Movement Shorts M Black
227.00246,Sprinter Shorts,Apparel,2021-04-22T00:00:00Z,Performance Running,Sprinter Shorts W Black
227.00247,Sprinter Shorts,Apparel,2021-08-19T00:00:00Z,Performance Running,Sprinter Shorts W Mulberry
227.00441,Sprinter Shorts,Apparel,2022-02-17T00:00:00Z,Performance Running,Sprinter Shorts W Sea
701.00557,On-T,Apparel,2021-05-20T00:00:00Z,Performance All Day,Swiss Olympic-T M Auburn
801.00558,On-T,Apparel,2021-05-20T00:00:00Z,Performance All Day,Swiss Olympic-T W Auburn
232.00262,Active-T Breathe,Apparel,2021-02-11T00:00:00Z,Performance All Day,Active-T Breathe W Navy
232.00263,Active-T Breathe,Apparel,2021-02-11T00:00:00Z,Performance All Day,Active-T Breathe W Lilac
232.00452,Active-T Breathe,Apparel,2022-04-14T00:00:00Z,Performance All Day,Active-T Breathe W Olive
59.98842,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof M All Black
59.98841,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof M Glacier | White
59.98840,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof M Olive | Black
59.98839,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof M Cocoa | Frost
59.98838,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof W All Black
59.98837,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof W Glacier | White
59.98836,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof W Olive | Black
59.98835,Cloud 5 Waterproof,Shoes,2022-02-03T00:00:00Z,Performance All Day,Cloud 5 Waterproof W Cocoa | Frost
19.99519,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome M Dijon
19.99518,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome M Sea
19.99517,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome M Mulberry
19.99203,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome M Midnight
19.99204,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome M Zinc
19.99205,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome M Rose
19.99516,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome W Flare
19.99515,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome W Endive
19.99514,Cloud Monochrome,Shoes,2021-03-11T00:00:00Z,Performance All Day,Cloud Monochrome W Grape
19.99199,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome W Pecan
19.99201,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome W Acai
19.99202,Cloud Monochrome,Shoes,2021-09-07T00:00:00Z,Performance All Day,Cloud Monochrome W Rose
19.99187,Cloud Waterproof,Shoes,2021-07-29T00:00:00Z,Performance All Day,Cloud Waterproof M Eclipse | Rock
19.99188,Cloud Waterproof,Shoes,2021-07-29T00:00:00Z,Performance All Day,Cloud Waterproof M Chai | Lunar
19.99189,Cloud Waterproof,Shoes,2021-07-29T00:00:00Z,Performance All Day,Cloud Waterproof M Navy
19.99186,Cloud Waterproof,Shoes,2021-07-29T00:00:00Z,Performance All Day,Cloud Waterproof W Navy
56.99012,Cloudrunner Wide,Shoes,2022-05-26T00:00:00Z,Performance Running,Cloudrunner Wide M Eclipse | Frost
56.99008,Cloudrunner Wide,Shoes,2022-05-26T00:00:00Z,Performance Running,Cloudrunner Wide W White | Frost
144.00324,Insulator Jacket,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Insulator Jacket M Cerulean | Navy
144.00325,Insulator Jacket,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Insulator Jacket M Black | Navy
244.00279,Insulator Jacket,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Insulator Jacket W Cerulean | Dark
244.00281,Insulator Jacket,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Insulator Jacket W Black | Dark
126.00332,Waterproof Pants,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Pants M Black | Navy
226.00285,Waterproof Pants,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Pants W Black | Dark
34.99002,Cloudventure Peak 3,Shoes,2022-05-19T00:00:00Z,Performance Outdoor,Cloudventure Peak M White | Leaf
34.99002,Cloudventure Peak,Shoes,2022-05-19T00:00:00Z,Performance Outdoor,Cloudventure Peak M White | Leaf
34.99001,Cloudventure Peak,Shoes,2022-05-19T00:00:00Z,Performance Outdoor,Cloudventure Peak W White | Leaf
34.99001,Cloudventure Peak 3,Shoes,2022-05-19T00:00:00Z,Performance Outdoor,Cloudventure Peak W White | Leaf
236.00249,Lightweight Pants,Apparel,2021-02-11T00:00:00Z,Performance Running,Lightweight Pants W Navy
236.00251,Lightweight Pants,Apparel,2021-02-11T00:00:00Z,Performance Running,Lightweight Pants W Cerulean
236.00707,Lightweight Pants,Apparel,2022-03-17T00:00:00Z,Performance Running,Lightweight Pants W Black
636.00518,Lightweight Pants,Apparel,2021-03-31T00:00:00Z,Performance Running,Lightweight Pants W Black
124.00326,Waterproof Anorak,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Anorak M Black
124.00327,Waterproof Anorak,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Anorak M White
124.00328,Waterproof Anorak,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Waterproof Anorak M Pecan
224.00282,Waterproof Anorak,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Anorak W Black
224.00283,Waterproof Anorak,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Anorak W White
224.00284,Waterproof Anorak,Apparel,2021-03-18T00:00:00Z,Performance Outdoor,Waterproof Anorak W Pecan
135.00331,Waterproof Shorts,Apparel,2021-02-11T00:00:00Z,Performance Outdoor,Waterproof Shorts M Black
28.99158,Cloud Hi Edge Defy,Shoes,2021-12-21T00:00:00Z,Performance All Day,Cloud Hi Edge Defy M Grape | Ox
28.99159,Cloud Hi Edge Defy,Shoes,2021-12-21T00:00:00Z,Performance All Day,Cloud Hi Edge Defy M Olive | Fir
49.99098,Cloudaway Kanazawa,Shoes,2021-10-21T00:00:00Z,Performance All Day,Cloudaway Kanazawa M White | Frost
49.99097,Cloudaway Kanazawa,Shoes,2021-10-21T00:00:00Z,Performance All Day,Cloudaway Kanazawa W White | Frost
43.99534,Cloudrock Edge Raw,Shoes,2022-01-01T00:00:00Z,Performance Outdoor,Cloudrock Edge Raw M Undyed
43.99531,Cloudrock Edge Raw,Shoes,2022-01-01T00:00:00Z,Performance Outdoor,Cloudrock Edge Raw W Undyed
125.00301,Lightweight Shorts,Apparel,2021-02-11T00:00:00Z,Performance Running,Lightweight Shorts M Glacier | Black
125.00302,Lightweight Shorts,Apparel,2021-02-11T00:00:00Z,Performance Running,Lightweight Shorts M Cerulean | Black
125.00435,Lightweight Shorts,Apparel,2022-02-17T00:00:00Z,Performance Running,Lightweight Shorts M Niagara | Black
125.00680,Lightweight Shorts,Apparel,2022-02-17T00:00:00Z,Performance Running,Lightweight Shorts M Twilight | Black
113.00294,Performance Long-T,Apparel,2021-02-11T00:00:00Z,Performance Running,Performance Long-T M Dark
113.00416,Performance Long-T,Apparel,2022-03-17T00:00:00Z,Performance Running,Performance Long-T M Rock
113.00416,Long-T,Apparel,2022-03-17T00:00:00Z,Performance Running,Performance Long-T M Rock
213.00239,Performance Long-T,Apparel,2021-02-11T00:00:00Z,Performance Running,Performance Long-T W Mineral
213.00241,Performance Long-T,Apparel,2021-02-11T00:00:00Z,Performance Running,Performance Long-T W Black
213.00421,Performance Long-T,Apparel,2022-03-17T00:00:00Z,Performance Running,Performance Long-T W Glacier
213.00421,Long-T,Apparel,2022-03-17T00:00:00Z,Performance Running,Performance Long-T W Glacier
417.01259,Performance Long-T,Apparel,2022-04-28T00:00:00Z,Performance Running,Performance Long-T 2 M Black
407.01252,Performance Long-T,Apparel,2022-04-28T00:00:00Z,Performance Running,Performance Long-T 2 W Black
701.00577,On-T,Apparel,2021-05-20T00:00:00Z,Performance All Day,Swiss Paralympic-T M Auburn
28.99168,Cloud Hi Waterproof,Shoes,2021-10-07T00:00:00Z,Performance All Day,Cloud Hi Waterproof M Rock | Magnet
28.99169,Cloud Hi Waterproof,Shoes,2021-10-07T00:00:00Z,Performance All Day,Cloud Hi Waterproof M Ink | Brown
28.99165,Cloud Hi Waterproof,Shoes,2021-10-07T00:00:00Z,Performance All Day,Cloud Hi Waterproof W Chai | Magnet
28.99166,Cloud Hi Waterproof,Shoes,2021-10-07T00:00:00Z,Performance All Day,Cloud Hi Waterproof W Cocoa | Pebble
28.99167,Cloud Hi Waterproof,Shoes,2021-10-07T00:00:00Z,Performance All Day,Cloud Hi Waterproof W Dust | Navy
19.98781,Cloud,Shoes,2021-05-20T00:00:00Z,Performance All Day,Cloud Swiss Olympic M White | Red
19.98780,Cloud,Shoes,2021-05-20T00:00:00Z,Performance All Day,Cloud Swiss Olympic W White | Red
48.99458,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage M White | Flare
48.99457,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage M White | Midnight
48.99456,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage M All White
48.99455,The Roger Advantage,Shoes,2021-02-02T00:00:00Z,Performance All Day,The Roger Advantage M White | Cobalt
48.99151,The Roger Advantage,Shoes,2021-06-01T00:00:00Z,Performance All Day,The Roger Advantage M White | Mulberry
